Tized,Nettó jövedelem,Élelmiszerek,Lakásfenntartás,Energiakiadások,Egészségügy,Közlekedés,Fennmaradó nettó jövedelem
1,335949,135593,45853,65179,15246,37454,36624
2,575285,160440,47681,86691,19141,44997,216335
3,720163,176720,59726,96460,25485,61252,300520
4,863119,209696,57909,115823,36602,88055,355034
5,992874,227408,72155,125555,45495,101839,420422
6,1130070,270994,80278,136803,54191,127641,460163
7,1274162,273206,93513,147818,59086,128486,572053
8,1471227,301069,105339,166016,76762,135206,686835
9,1756280,330185,129876,168159,84306,177188,866566
10,2873038,380058,171685,184693,97026,272946,1766630
