date	Önkormányzati tulajdonú lakások száma, ezer lakás	NET Zrt. lakásainak száma, ezer lakás	Éves lakbérbevétel - önkormányzati lakások, milliárd ft	Lakóépületek javítására, felújítására felhasznált összeg - önkormányzati lakások, milliárd forint	NET Zrt. éves lakbérbevétel, milliárd forint	NET Zrt. fenntartási és karbantartási kiadások, milliárd forint
1996	221	0	4.3	9.1	0	0
1997	216	0	4.8	11.4	0	0
1998	198	0	5.2	12	0	0
1999	185	0	6	10.9	0	0
2000	177	0	6.8	11.6	0	0
2001	166	0	6.8	12.6	0	0
2002	162	0	7.5	13.5	0	0
2003	163	0	9.7	11.2	0	0
2004	154	0	10.5	11	0	0
2005	141	0	11.2	12	0	0
2006	135	0	11.7	15.2	0	0
2007	129	0	12.7	15.4	0	0
2008	126	0	14.2	14.1	0	0
2009	124	0	15.1	12.4	0	0
2010	119	0	15	13.3	0	0
2011	117	0	16	9.7	0	0
2012	117	1	17	9.3	0	0
2013	115	5	18.3	12.1	0.2	0.2
2014	113	14	18	14.8	1.1	0.5
2015	111	22	18.4	14.3	1.9	1
2016	110	28	18.2	12.1	2.8	1.3
2017	108	35	19.4	12.6	3.2	2
