date	Ingatlanhitelek, forint	Ingatlanhitelek, deviza	Fogyasztási és egyéb hitelek, forint	Fogyasztási és egyéb hitelek, deviza	Hitelek a nem pénzügyi szektortól
19891001	272.868	0	47.846	0	35.1
19900101	274.792	0	50.389	0	36.125
19900401	276.69	0	57.425	0	37.25
19900701	291.647	0	62.536	0	38.575
19901001	290.907	0	62.148	0	40.4
19910101	247.299	0	65.281	0	39.695
19910401	170.392	0	68.947	0	40.09
19910701	170.306	0	72.122	0	40.585
19911001	167.601	0	64.563	0	40.88
19920101	160.648	0	68.848	0	42.028
19920401	159.828	0	72.398	0	42.677
19920701	161.873	0	77.565	0	43.726
19921001	174.421	0	72.355	0	43.875
19930101	174.582	0	77.842	0	44.531
19930401	177.392	0	88.53	0	44.987
19930701	181.701	0	95.806	0	45.543
19931001	193.694	0	94.672	0	45.999
19940101	191.15	0	102.183	0	47.295
19940401	185.477	0	115.173	0	48.091
19940701	181.145	0	133.601	0	49.687
19941001	187.584	0	138.547	0	51.183
19950101	179.198	0	136.779	0	51.739
19950401	171.4	0	138.586	0	52.395
19950701	164.565	0	140.217	0	53.251
19951001	170.658	0	125.748	0.148	54.061
19960101	163.133	0.141	125.994	0.048	54.906
19960401	155.074	0.143	129.321	0.057	55.964
19960701	147.382	0.108	130.595	0.225	56.884
19961001	150.541	0.112	124.287	0.061	57.724
19970101	140.961	0.082	123.282	0.091	58.634
19970401	134.163	0.133	132.201	0.127	64.944
19970701	129.227	0.176	146.256	0.133	66.645
19971001	137.437	0.452	147.486	1.098	98.603
19980101	130.787	0.476	145.772	1.219	103.322
19980401	128.512	0.5	169.268	1.565	85.666
19980701	127.272	0.568	186.266	1.718	84.739
19981001	127.018	0.504	198.607	2.153	70.176
19990101	122.89	0.474	218.865	2.99	66.898
19990401	122.716	0.514	248.049	3.302	65.127
19990701	124.637	0.604	283.803	4.417	67.198
19991001	128.107	0.643	311.682	8.753	73.988
20000101	127.049	0.638	343.026	16.072	71.574
20000401	139.547	1.016	382.414	22.877	76.671
20000701	159.877	2.644	421.304	29.982	79.379
20001001	186.215	3.878	463.743	41.476	83.654
20010101	202.616	4.418	500.906	52.247	87.796
20010401	237.928	5.034	546.616	73.731	96.073
20010701	278.503	5.814	582.238	105.598	104.904
20011001	320.347	6.444	628.088	130.551	118.963
20020101	356.773	8.587	645.285	165.964	120.998
20020401	459.427	9.814	709.575	198.657	124.357
20020701	617.327	11.906	773.575	227.424	130.452
20021001	779.12	12.892	761.822	294.235	149.599
20030101	904.614	13.881	795.467	342.595	143.469
20030401	1102.68	16.974	856.783	411.901	146.927
20030701	1328.736	17.351	877.335	486.825	147.601
20031001	1511.109	20.528	931.6	566.604	158.386
20040101	1630.791	22.853	959.706	601.265	158.01
20040401	1698.3	50.039	990.693	749.396	166.599
20040701	1760.696	97.367	1026.861	844.043	169.781
20041001	1799.515	151.416	1046.66	965.974	189.83
20050101	1795.125	204.042	1052.004	1044.041	197.545
20050401	1810.635	291.759	1058.494	1197.39	216.179
20050701	1824.512	401.298	1080.201	1360.604	229.336
20051001	1838.099	505.407	1135.032	1511.157	246.852
20060101	1829.987	615.558	1126.75	1667.871	253.648
20060401	1827.21	787.076	1166.995	1970.544	274.719
20060701	1818.293	908.515	1215.357	2045.678	280.222
20061001	1815.071	982.494	1237.246	1975.622	283.73
20070101	1793.637	1068.195	1255.955	2068.667	280.036
20070401	1768.504	1189.132	1290.126	2234.334	284.488
20070701	1749.64	1372.076	1298.759	2545.811	286.845
20071001	1710.284	1569.234	1288.522	2786.464	287.102
20080101	1665.241	1829.246	1320.353	3214.941	294.66
20080401	1629.454	1805.21	1358.141	3068.644	287.606
20080701	1602.683	2062.978	1398.026	3422.652	296.291
20081001	1576.77	2538.153	1406.757	4008.65	311.105
20090101	1557.235	2950.649	1442.693	4533.992	316.076
20090401	1552.57	2605.905	1509.387	3887.146	302.91
20090701	1551.05	2626.654	1563.515	3802.048	298.663
20091001	1541.652	2668.267	1585.316	3785.682	300.345
20100101	1539.793	2696.546	1661.801	3745.145	293.835
20100401	1550.187	3088.667	1720.259	4181.564	297.965
20100701	1571.903	2938.538	1810.389	3853.118	295.315
20101001	1590.832	3076.541	1842.676	3906.542	299.65
20110101	1592.559	2809.289	1891.74	3425.772	290.179
20110401	1602.939	2954.885	1955.508	3520.021	289.809
20110701	1625.238	3199.137	1969.021	3709.014	298.237
20111001	1650.431	2948.395	2037.429	3607.398	302.936
20120101	1737.275	2319.175	2176.507	3110.894	291.582
20120401	1718.795	2248.515	2208.07	2943.044	286.88
20120701	1728.995	2136.867	2247.384	2728.751	298.92
20121001	1711.975	2152.655	2222.484	2683.255	294.533
20130101	1653.589	2109.85	2257.227	2761.761	293.475
20130401	1636.732	1940.577	2266.238	2594.234	285.607
20130701	1632.678	1930.915	2286.92	2543.466	283.076
20131001	1626.979	1870.204	2245.415	2417.849	277.787
20140101	1597.084	1887.357	2267.031	2433.316	263.61
20140401	1598.454	1862.37	2287.849	2371.942	258.588
20140701	1618.468	1838.554	2319.366	2299.757	254.195
20141001	1628.566	1827.99	2301.233	2253.216	249.888
20150101	3146.83	73.326	3804.248	427.249	245.845
20150401	3161.463	26.973	3753.961	350.735	258.262
20150701	3130.584	23.17	3714.902	293.087	264.147
20151001	3098.085	8.065	3796.826	91.249	276.317
20160101	3057.987	8.162	3742.063	83.586	278.379
20160401	3051.505	7.763	3710.182	77.651	278.625
20160701	3059.233	7.289	3711.493	75.351	276.658
20161001	3017.017	6.991	3753.508	71.309	300.158
20170101	3015.566	7.131	3744.791	65.588	299.647
20170401	3013.638	6.054	3784.082	63.911	304.205
20170701	3064.883	5.779	3787.572	62.147	303.473
20171001	3104.622	5.462	3674.124	60.631	299.589
20180101	3127.149	4.451	3680.847	56.392	302.262
